bowler,economy_rate
AA Noffke,9.8399
Z Khan,7.5395
JH Kallis,7.8310
SB Joshi,8.9454
CL White,11.2173
P Kumar,7.6041
AB Agarkar,8.5902
SC Ganguly,7.9286
LR Shukla,8.4295
I Sharma,7.9713
AB Dinda,7.9408
JDP Oram,8.9016
JR Hopes,9.1382
MS Gony,8.5427
K Goel,8.4179
PP Chawla,7.9087
WA Mota,7.8400
IK Pathan,7.6981
S Sreesanth,7.7360
B Lee,7.3755
M Muralitharan,6.6772
P Amarnath,10.9545
Joginder Sharma,9.2868
GD McGrath,6.6748
B Geeves,11.1428
SK Warne,7.1872
YK Pathan,7.3125
D Salunkhe,9.4118
SR Watson,7.6986
SK Trivedi,7.4913
DL Vettori,6.8331
MF Maharoof,7.2381
MM Patel,7.5239
R Bhatia,7.4377
B Akhil,7.6477
R Vinay Kumar,8.3185
A Nehra,7.7112
SM Pollock,6.5786
DS Kulkarni,7.9946
AM Nayar,8.1088
Harbhajan Singh,7.0206
ST Jayasuriya,7.8937
WPUJC Vaas,7.5833
RP Singh,7.7385
SB Styris,7.5135
SB Bangar,8.6667
DJ Hussey,9.0093
Mohammad Hafeez,6.7619
M Kartik,7.1980
PP Ojha,7.4005
A Symonds,7.7111
Pankaj Singh,9.1061
Mohammad Asif,9.2563
VY Mahesh,8.5404
Shahid Afridi,7.6865
MA Khote,10.4000
DJ Bravo,8.1567
VS Yeligati,11.4376
D Kalyankrishna,10.5600
VRV Singh,8.8787
A Kumble,6.6470
Sohail Tanvir,6.2264
DNT Zoysa,8.6957
SD Chitnis,9.7895
Shoaib Malik,9.0000
Yuvraj Singh,7.4218
DW Steyn,6.7698
JA Morkel,7.9989
CRD Fernando,7.3735
V Sehwag,10.2609
V Kohli,8.4318
Gagandeep Singh,10.1429
Y Venugopal Rao,9.1351
Umar Gul,7.7647
M Ntini,7.2394
PJ Sangwan,8.4876
DP Vijaykumar,7.7358
DB Ravi Teja,9.3333
LPC Silva,21.0000
DJ Thornely,5.4546
RR Raje,8.9167
SK Raina,7.3484
S Vidyut,10.1537
L Balaji,7.9403
CK Kapugedera,17.2943
DR Smith,8.8869
AD Mascarenhas,7.0645
A Mishra,7.2620
Shoaib Akhtar,7.0434
Iqbal Abdulla,7.1580
RR Powar,7.2867
PM Sarvesh Kumar,8.1290
Abdur Razzak,12.4287
RA Jadeja,7.6441
TM Dilshan,8.0291
RG Sharma,7.8772
A Nel,10.3333
BAW Mendis,7.0820
A Flintoff,9.6364
T Thushara,6.8333
SL Malinga,7.0330
T Henderson,6.8333
Kamran Khan,8.2235
JD Ryder,7.8174
DP Nannes,7.0972
AM Salvi,7.8846
YA Abdulla,8.4054
VS Malik,7.5849
Harmeet Singh,7.7923
FH Edwards,6.4000
MC Henriques,8.2026
CH Gayle,7.7569
KP Pietersen,7.2667
LRPL Taylor,11.0768
RS Bopara,8.4789
MK Tiwary,11.0667
Anureet Singh,8.8744
RR Bose,12.0000
KP Appanna,7.8649
Shoaib Ahmed,8.9709
BJ Hodge,7.8151
SR Tendulkar,9.5675
RE van der Merwe,6.7912
JP Duminy,7.2496
S Tyagi,8.2909
GR Napier,7.0000
SM Harwood,6.6268
AS Raut,9.0000
SB Jakati,8.0327
D du Preez,7.8139
TL Suman,7.8158
RJ Harris,7.5260
A Singh,7.8889
M Morkel,7.5433
LA Carseldine,5.1427
A Mithun,9.1731
C Nanda,6.9600
SS Sarkar,8.1599
AD Mathews,8.1413
AM Rahane,5.0000
J Botha,6.9224
Mashrafe Mortaza,12.6428
AB McDonald,8.3936
Y Nagar,10.4167
CK Langeveldt,7.2364
R Ashwin,6.7737
RA Shaikh,11.0000
Jaskaran Singh,9.4054
AA Jhunjhunwala,8.8636
A Uniyal,10.5790
SW Tait,7.5056
AG Murtaza,7.1822
R Sathish,9.7083
R McLaren,9.0000
RS Gavaskar,8.0000
JM Kemp,7.4043
S Ladda,9.5745
Bipul Sharma,7.9954
SE Bond,7.0681
KA Pollard,8.3805
S Narwal,10.7788
UT Yadav,8.3391
SJ Srivastava,8.7059
AC Voges,8.1429
R Sharma,7.0588
J Theron,7.8783
NLTC Perera,8.6517
KAJ Roach,9.2307
PD Collingwood,6.7333
C Ganapathy,13.0000
MB Parmar,10.4209
DE Bollinger,7.1600
SB Wagh,8.1667
JD Unadkat,8.7134
AP Dole,9.3698
AN Ahmed,8.5359
FY Fazal,10.0000
MR Marsh,7.7220
L Ablish,10.1333
S Sriram,16.3333
AJ Finch,9.1364
STR Binny,7.4926
ND Doshi,8.3158
S Randiv,7.4333
TG Southee,8.4721
AL Menaria,7.6460
DT Christian,7.7897
AUK Pathan,9.2196
RV Gomez,8.0412
JEC Franklin,8.7097
WD Parnell,7.2978
M Manhas,6.0000
AC Thomas,7.6330
NJ Rimmington,6.6667
RN ten Doeschate,6.7952
S Nadeem,7.4535
BA Bhatt,8.0792
R Ninan,10.8333
JJ van der Wath,10.5789
S Aravind,8.0482
Shakib Al Hasan,7.4050
PC Valthaty,8.1176
S Dhawan,8.8163
J Syed Mohammad,8.7551
VR Aaron,8.5698
JE Taylor,8.2131
NL McCullum,7.0000
KMDN Kulasekara,6.8411
P Parameswaran,8.5283
I Malhotra,23.0000
B Chipli,20.0000
B Kumar,7.1549
AA Kazi,9.6922
Anand Rajan,7.6296
AA Chavan,7.9765
P Prasanth,18.0000
Y Gnaneswara Rao,7.0000
S Rana,6.7499
JP Faulkner,8.5909
SS Mundhe,5.1427
RW Price,11.0000
GJ Maxwell,8.4516
M de Lange,8.8448
MN Samuels,7.8082
KK Cooper,7.8900
DAJ Bracewell,7.6799
HV Patel,8.5714
Ankit Sharma,7.2480
DJ Harris,8.6667
TP Sudhindra,11.1081
F du Plessis,16.0000
SP Narine,6.8159
GB Hogg,7.5322
RR Bhatkal,17.5000
P Awana,8.1085
V Pratap Singh,8.5308
CJ McKay,8.5714
A Ashish Reddy,8.8889
AD Russell,8.8179
Azhar Mahmood,7.6848
A Chandila,6.2821
P Negi,7.8090
LJ Wright,10.0000
RJ Peterson,8.7500
R Shukla,10.0154
MJ Clarke,6.5455
BW Hilfenhaus,7.6462
SPD Smith,15.0015
K Upadhyay,8.6786
Sunny Gupta,14.8419
MG Johnson,8.0216
JJ Bumrah,7.3784
S Badree,7.5057
AS Rajpoot,8.9312
B Laughlin,9.5196
GH Vihari,6.6976
Mohammed Shami,8.7571
BMAJ Mendis,7.2000
CH Morris,7.6997
Harmeet Singh (2),8.1599
S Kaul,8.5731
R Dhawan,7.6608
MM Sharma,8.3164
R Rampaul,6.7941
SMSM Senanayake,6.4923
KV Sharma,7.9661
JO Holder,8.1980
IC Pandey,7.7910
Sandeep Sharma,7.5733
YS Chahal,7.6289
DJG Sammy,8.7049
KW Richardson,8.2822
P Suyal,8.6355
PV Tambe,7.7092
BJ Rohrer,10.2854
Parvez Rasool,8.1900
MG Neser,14.8799
NM Coulter-Nile,7.5499
AC Gilchrist,0.0000
CJ Anderson,10.0000
MA Starc,7.1078
JDS Neesham,9.8000
AR Patel,7.3122
M Vijay,7.9459
R Tewatia,6.9915
SA Yadav,8.0000
Shivam Sharma,8.6842
Imran Tahir,7.8219
V Shankar,7.8068
LMP Simmons,11.3333
BCJ Cutting,8.9583
S Gopal,7.8374
K Santokie,10.7059
BE Hendricks,9.1337
PJ Cummins,8.1343
JW Hastings,6.4918
Karanveer Singh,9.0986
DJ Muthuswami,7.7143
TA Boult,8.3177
SA Abbott,10.6876
KC Cariappa,9.3482
DJ Hooda,8.1841
J Suchith,8.5993
RG More,10.2162
MJ McClenaghan,8.1976
D Wiese,8.4913
HH Pandya,8.7965
SN Thakur,8.5850
GS Sandhu,10.7500
Gurkeerat Singh,7.0975
J Yadav,6.4925
BB Sran,8.9186
M Ashwin,7.6661
CR Brathwaite,8.6617
C Munro,7.5000
MP Stoinis,9.2776
P Sahu,8.5234
Mustafizur Rahman,7.4250
AF Milne,9.6522
Kuldeep Yadav,8.2212
KH Pandya,7.1551
KJ Abbott,10.7059
T Shamsi,9.4375
S Kaushik,8.6857
SM Boland,7.8139
Swapnil Singh,8.8524
CJ Jordan,8.9639
A Zampa,7.6644
Sachin Baby,4.7999
N Rana,8.0187
DL Chahar,7.3767
KS Williamson,10.3333
TM Head,10.1250
A Choudhary,8.0000
TS Mills,8.4865
Rashid Khan,6.3342
BA Stokes,8.3797
CR Woakes,8.9242
T Natarajan,8.1019
RD Chahar,7.3902
B Stanlake,8.0000
Basil Thampi,9.6659
Tejas Baroka,9.4286
C de Grandhomme,8.4261
AJ Tye,8.2977
LH Ferguson,8.1509
Mohammad Nabi,6.6869
Mohammed Siraj,8.7381
K Rabada,8.1143
Washington Sundar,6.8909
SS Agarwal,10.5000
NB Singh,4.3200
RA Tripathi,12.0000
Ankit Soni,7.7678
MJ Henry,13.7418
Avesh Khan,9.7622
MA Wood,11.9999
M Markande,8.5574
Mujeeb Ur Rahman,8.0000
K Khejroliya,9.3268
K Gowtham,8.3478
DJM Short,7.6667
TK Curran,10.9333
A Dananjaya,11.2799
Shivam Mavi,8.5689
JC Archer,7.0490
LE Plunkett,8.8831
IS Sodhi,6.7253
MK Lomror,9.0000
KM Asif,11.8422
L Ngidi,7.4382
DJ Willey,9.4426
M Prasidh Krishna,9.0000
MM Ali,7.0227
JPR Scantlebury-Searles,11.8667
S Lamichhane,8.4455
CJ Dala,10.7367
KK Ahmed,8.6617
NA Saini,8.1261
S Dube,7.5455
Rasikh Salam,9.3333
KMA Paul,7.9667
SM Curran,8.5551
CV Varun,7.1057
GC Viljoen,9.4110
Mandeep Singh,13.0000
P Ray Barman,14.0000
MJ Santner,6.7846
JP Behrendorff,8.6154
SC Kuggeleijn,8.5200
AS Joseph,9.7091
HF Gurney,8.4852
S Midhun,13.3844
R Parag,9.1546
LS Livingstone,13.0000
SN Khan,18.0018
Abhishek Sharma,9.1622
Arshdeep Singh,9.0404
Harpreet Brar,9.7091
SE Rutherford,7.8261
Y Prithvi Raj,10.3636
O Thomas,8.0952
AS Roy,4.4000
S Sandeep Warrier,7.6596
JL Pattinson,8.6757
SS Cottrell,8.1069
A Nortje,8.4415
Ravi Bishnoi,7.1887
I Udana,9.4286
TU Deshpande,10.5273
KL Nagarkoti,8.7375
Kartik Tyagi,9.2614
DR Sams,8.8831
Shahbaz Ahmed,7.2973
Abdul Samad,13.3953
JR Hazlewood,7.0819
DA Warner,6.0006
CJ Green,8.4707
P Dubey,9.0000
Monu Kumar,7.4999
