yr,id,tot_rns
2008,335982,304
2008,335983,447
2008,335984,261
2008,335985,331
2008,335986,222
2008,335987,334
2008,335988,285
2008,335989,410
2008,335990,431
2008,335991,298
2008,335992,273
2008,335993,299
2008,335994,309
2008,335995,320
2008,335996,343
2008,335997,275
2008,335998,372
2008,335999,331
2008,336000,347
2008,336001,341
2008,336002,336
2008,336003,347
2008,336004,295
2008,336005,219
2008,336006,253
2008,336007,292
2008,336008,207
2008,336009,375
2008,336010,253
2008,336011,281
2008,336012,248
2008,336013,344
2008,336014,385
2008,336015,315
2008,336016,287
2008,336017,243
2008,336018,314
2008,336019,401
2008,336020,376
2008,336021,135
2008,336022,212
2008,336023,329
2008,336024,331
2008,336025,204
2008,336026,312
2008,336027,297
2008,336028,377
2008,336029,238
2008,336031,353
2008,336032,355
2008,336033,412
2008,336034,309
2008,336035,349
2008,336036,291
2008,336037,295
2008,336038,279
2008,336039,228
2008,336040,327
2009,392181,311
2009,392182,191
2009,392183,162
2009,392184,205
2009,392185,266
2009,392186,237
2009,392188,344
2009,392189,369
2009,392191,341
2009,392192,324
2009,392194,299
2009,392195,251
2009,392196,334
2009,392197,282
2009,392198,290
2009,392199,282
2009,392200,235
2009,392201,298
2009,392202,290
2009,392203,287
2009,392204,282
2009,392205,283
2009,392206,308
2009,392207,307
2009,392208,299
2009,392209,278
2009,392210,344
2009,392211,311
2009,392212,271
2009,392213,212
2009,392214,359
2009,392215,234
2009,392216,337
2009,392217,281
2009,392218,298
2009,392219,248
2009,392220,279
2009,392221,349
2009,392222,241
2009,392223,334
2009,392224,261
2009,392225,288
2009,392226,243
2009,392227,298
2009,392228,326
2009,392229,267
2009,392230,286
2009,392231,377
2009,392232,269
2009,392233,203
2009,392234,208
2009,392235,331
2009,392236,328
2009,392237,307
2009,392238,295
2009,392239,280
2010,419106,311
2010,419107,420
2010,419108,288
2010,419109,271
2010,419110,349
2010,419111,283
2010,419112,407
2010,419113,273
2010,419114,338
2010,419115,185
2010,419116,375
2010,419117,334
2010,419118,302
2010,419119,306
2010,419120,332
2010,419122,311
2010,419123,306
2010,419124,335
2010,419125,361
2010,419126,299
2010,419127,327
2010,419128,349
2010,419129,337
2010,419130,303
2010,419131,314
2010,419132,327
2010,419133,323
2010,419134,309
2010,419135,338
2010,419136,365
2010,419137,469
2010,419138,293
2010,419139,404
2010,419140,331
2010,419141,316
2010,419142,306
2010,419143,310
2010,419144,348
2010,419145,370
2010,419146,312
2010,419147,277
2010,419148,322
2010,419149,223
2010,419150,311
2010,419151,289
2010,419152,327
2010,419153,282
2010,419154,262
2010,419155,225
2010,419156,352
2010,419157,325
2010,419158,265
2010,419159,387
2010,419160,279
2010,419161,268
2010,419162,333
2010,419163,246
2010,419164,168
2010,419165,314
2011,501198,304
2011,501199,278
2011,501200,323
2011,501201,194
2011,501202,225
2011,501203,317
2011,501204,303
2011,501205,283
2011,501206,381
2011,501207,299
2011,501208,317
2011,501209,319
2011,501210,366
2011,501211,345
2011,501212,331
2011,501213,377
2011,501214,166
2011,501215,266
2011,501216,320
2011,501218,242
2011,501219,258
2011,501220,342
2011,501221,320
2011,501222,346
2011,501223,433
2011,501224,307
2011,501225,220
2011,501226,259
2011,501227,321
