umpire1,count(*)
S Ravi,117
HDPK Dharmasena,93
AK Chaudhary,83
C Shamshuddin,82
M Erasmus,62
CK Nandan,56
SJA Taufel,55
Nitin Menon,53
Asad Rauf,51
VA Kulkarni,49
BNJ Oxenford,48
CB Gaffaney,46
RJ Tucker,45
BR Doctrove,42
RE Koertzen,41
Aleem Dar,37
BF Bowden,37
NJ Llong,36
KN Ananthapadmanabhan,33
RK Illingworth,31
SK Tarapore,31
S Asnani,30
RB Tiffin,30
AY Dandekar,27
AM Saheba,26
DJ Harper,26
VK Sharma,26
A Nand Kishore,25
PR Reiffel,22
K Hariharan,20
YC Barde,19
BG Jerling,17
JD Cloete,16
SS Hazare,16
S Das,15
K Srinath,15
IL Howell,14
SL Shastri,14
A Deshmukh,12
MR Benson,11
PG Pathak,9
SJ Davis,7
UV Gandhe,7
GAV Baxter,7
RM Deshpande,7
AV Jayaprakash,6
SD Fry,6
IJ Gould,6
GA Pratapkumar,6
I Shivram,6
AL Hill,6
TH Wijewardene,5
K Srinivasan,5
K Bharatan,3
SD Ranade,2
Subroto Das,1
