yr,player_of_match,NOA
2008,SE Marsh,5
2009,SR Tendulkar,2
2009,M Muralitharan,2
2009,AC Gilchrist,2
2009,AB de Villiers,2
2009,KC Sangakkara,2
2009,YK Pathan,2
2009,JP Duminy,2
2009,Yuvraj Singh,2
2009,DPMD Jayawardene,2
2009,JH Kallis,2
2009,RG Sharma,2
2009,ML Hayden,2
2009,LRPL Taylor,2
2009,MK Pandey,2
2010,SR Tendulkar,4
2011,CH Gayle,6
2012,CH Gayle,5
2013,MEK Hussey,5
2014,GJ Maxwell,4
2015,DA Warner,4
2016,V Kohli,5
2017,BA Stokes,3
2017,NM Coulter-Nile,3
2018,Rashid Khan,4
2019,AD Russell,4
2020,RD Gaikwad,3
2020,TA Boult,3
