winner,venue,percentage_wins_at_venue
Kolkata Knight Riders,Eden Gardens,45.9184
Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",37.7358
Delhi Daredevils,Feroz Shah Kotla,40.2985
Royal Challengers Bangalore,M Chinnaswamy Stadium,31.4607
Rajasthan Royals,Sawai Mansingh Stadium,40.5063
Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",21.1765
Deccan Chargers,Barabati Stadium,10.3448
Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",10.3448
Mumbai Indians,Wankhede Stadium,34.7458
Pune Warriors,Subrata Roy Sahara Stadium,33.3333
Kochi Tuskers Kerala,Nehru Stadium,33.3333
Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",44.6154
Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,40.0000
Gujarat Lions,Saurashtra Cricket Association Stadium,23.0769
Rising Pune Supergiant,Maharashtra Cricket Association Stadium,50.0000
Delhi Capitals,Dubai International Cricket Stadium,17.6471
Delhi Capitals,Sharjah Cricket Stadium,17.6471
Delhi Capitals,Feroz Shah Kotla,17.6471
