stadium,count(*)
M Chinnaswamy Stadium,62
"Punjab Cricket Association Stadium, Mohali",35
Feroz Shah Kotla,72
Wankhede Stadium,72
Eden Gardens,77
Sawai Mansingh Stadium,47
"Rajiv Gandhi International Stadium, Uppal",63
"MA Chidambaram Stadium, Chepauk",56
Dr DY Patil Sports Academy,17
Newlands,6
St George's Park,7
Kingsmead,15
SuperSport Park,12
Buffalo Park,3
New Wanderers Stadium,8
De Beers Diamond Oval,3
OUTsurance Oval,2
Brabourne Stadium,11
"Sardar Patel Stadium, Motera",11
Barabati Stadium,7
"Vidarbha Cricket Association Stadium, Jamtha",3
Himachal Pradesh Cricket Association Stadium,9
Nehru Stadium,5
Holkar Cricket Stadium,9
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13
Subrata Roy Sahara Stadium,17
Shaheed Veer Narayan Singh International Stadium,6
JSCA International Stadium Complex,7
Sheikh Zayed Stadium,27
Sharjah Cricket Stadium,18
Dubai International Cricket Stadium,30
Maharashtra Cricket Association Stadium,21
"Punjab Cricket Association IS Bindra Stadium, Mohali",21
Saurashtra Cricket Association Stadium,9
Green Park,4
M.Chinnaswamy Stadium,14
