venue,count(*)
Eden Gardens,77
Feroz Shah Kotla,72
Wankhede Stadium,72
"Rajiv Gandhi International Stadium, Uppal",63
M Chinnaswamy Stadium,62
"MA Chidambaram Stadium, Chepauk",56
Sawai Mansingh Stadium,47
"Punjab Cricket Association Stadium, Mohali",35
Dubai International Cricket Stadium,30
Sheikh Zayed Stadium,27
"Punjab Cricket Association IS Bindra Stadium, Mohali",21
Maharashtra Cricket Association Stadium,21
Sharjah Cricket Stadium,18
Dr DY Patil Sports Academy,17
Subrata Roy Sahara Stadium,17
Kingsmead,15
M.Chinnaswamy Stadium,14
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13
SuperSport Park,12
Brabourne Stadium,11
"Sardar Patel Stadium, Motera",11
Himachal Pradesh Cricket Association Stadium,9
Holkar Cricket Stadium,9
Saurashtra Cricket Association Stadium,9
New Wanderers Stadium,8
Barabati Stadium,7
JSCA International Stadium Complex,7
St George's Park,7
Shaheed Veer Narayan Singh International Stadium,6
Newlands,6
Nehru Stadium,5
Green Park,4
"Vidarbha Cricket Association Stadium, Jamtha",3
De Beers Diamond Oval,3
Buffalo Park,3
OUTsurance Oval,2
