batsman,sum(batsman_runs),perc_runs
RT Ponting,91,87.5000
BB McCullum,2880,92.9332
DJ Hussey,1322,95.5202
Mohammad Hafeez,64,92.7536
SC Ganguly,1349,92.1448
CL White,954,97.0498
MV Boucher,394,94.7115
B Akhil,76,95.0000
AA Noffke,9,81.8182
P Kumar,340,93.6639
Z Khan,117,96.6942
SB Joshi,6,75.0000
W Jaffer,130,93.5252
JH Kallis,2427,94.5462
R Dravid,2174,95.7709
V Kohli,5878,96.6617
K Goel,218,93.1624
MEK Hussey,1977,95.7849
JR Hopes,417,96.3048
SK Raina,5368,95.7887
JDP Oram,106,96.3636
S Badrinath,1441,95.1155
PA Patel,2848,93.6534
ML Hayden,1107,91.8672
MS Dhoni,4632,95.4068
KC Sangakkara,1687,94.7753
Yuvraj Singh,2750,95.4861
SM Katich,241,94.8819
IK Pathan,1139,91.9290
T Kohli,11,91.6667
YK Pathan,3204,95.1589
S Dhawan,5197,95.3228
G Gambhir,4217,94.1505
SK Warne,198,94.2857
D Salunkhe,33,100.0000
SK Trivedi,42,89.3617
V Sehwag,2728,93.5849
SR Watson,3874,95.9861
M Kaif,259,92.5000
DS Lehmann,18,90.0000
RA Jadeja,2159,94.3619
M Rawat,55,93.2203
L Ronchi,34,91.8919
ST Jayasuriya,768,91.1032
DJ Thornely,39,73.5849
RV Uthappa,4607,94.4444
PR Shah,92,88.4615
AM Nayar,672,93.0748
SM Pollock,147,95.4545
Harbhajan Singh,829,93.0415
S Chanderpaul,25,92.5926
LRPL Taylor,1017,93.8192
WP Saha,1979,95.4195
AS Yadav,49,94.2308
A Symonds,974,94.7471
SB Bangar,49,92.4528
WPUJC Vaas,81,96.4286
RP Singh,52,88.1356
AC Gilchrist,2069,93.4086
Y Venugopal Rao,985,93.7203
VVS Laxman,282,95.2703
RG Sharma,5230,96.9596
SB Styris,131,94.2446
LR Shukla,405,93.7500
PP Chawla,584,94.1935
Kamran Akmal,128,96.9697
DPMD Jayawardene,1802,93.7077
