batsman,count(batsman_runs)
CH Gayle,349
AB de Villiers,235
MS Dhoni,216
RG Sharma,214
V Kohli,202
KA Pollard,198
DA Warner,195
SK Raina,194
SR Watson,190
RV Uthappa,163
YK Pathan,159
Yuvraj Singh,149
AT Rayudu,132
BB McCullum,130
AD Russell,129
DR Smith,117
SV Samson,115
S Dhawan,109
V Sehwag,106
KD Karthik,105
KL Rahul,104
RR Pant,103
MK Pandey,93
HH Pandya,93
AC Gilchrist,92
M Vijay,91
GJ Maxwell,91
DA Miller,87
SS Iyer,83
JP Duminy,79
NV Ojha,79
SE Marsh,78
JC Buttler,77
RA Jadeja,76
AM Rahane,76
Q de Kock,76
AJ Finch,75
F du Plessis,73
N Rana,72
MA Agarwal,67
WP Saha,64
Ishan Kishan,64
CA Lynn,63
DJ Bravo,61
DJ Hussey,60
G Gambhir,59
EJG Morgan,58
SPD Smith,58
SA Yadav,58
JA Morkel,55
KS Williamson,54
MEK Hussey,52
SP Narine,52
PA Patel,49
SS Tiwary,48
LRPL Taylor,46
JH Kallis,44
ML Hayden,44
LMP Simmons,44
BJ Hodge,43
AR Patel,43
Harbhajan Singh,42
SC Ganguly,42
A Symonds,41
KP Pietersen,40
MK Tiwary,40
KH Pandya,40
ST Jayasuriya,39
DPMD Jayawardene,39
M Vohra,39
KK Nair,39
N Pooran,39
KM Jadhav,38
IK Pathan,37
Y Venugopal Rao,37
Mandeep Singh,37
RA Tripathi,37
CL White,36
STR Binny,35
MP Stoinis,34
BA Stokes,32
HH Gibbs,31
CJ Anderson,31
JM Bairstow,31
CH Morris,30
SR Tendulkar,29
AD Mathews,29
DJ Hooda,29
S Badrinath,28
R Dravid,28
KC Sangakkara,27
MC Henriques,27
PP Shaw,27
TL Suman,26
NLTC Perera,26
E Lewis,26
V Shankar,25
TM Dilshan,24
Shubman Gill,24
OA Shah,23
MS Bisla,23
JP Faulkner,23
MM Ali,23
HM Amla,21
AM Nayar,20
PC Valthaty,20
Shakib Al Hasan,20
R Tewatia,20
DT Christian,19
JD Ryder,19
GJ Bailey,19
BCJ Cutting,19
SO Hetmyer,19
PP Chawla,18
S Sohal,18
AL Menaria,18
DJG Sammy,18
C de Grandhomme,18
P Kumar,17
LR Shukla,16
DB Das,16
RS Bopara,16
P Negi,16
CR Brathwaite,16
RN ten Doeschate,15
A Ashish Reddy,15
MJ Guptill,15
SM Curran,15
MR Marsh,14
KV Sharma,14
JC Archer,14
MV Boucher,13
R Bhatia,13
LA Pomersbach,13
PD Collingwood,13
Azhar Mahmood,13
PJ Cummins,12
K Gowtham,12
S Dube,12
JR Hopes,11
AP Tare,11
Gurkeerat Singh,11
SN Khan,11
R Ashwin,11
Rashid Khan,11
SA Asnodkar,10
M Manhas,10
SW Billings,10
K Goel,9
GC Smith,9
R Vinay Kumar,9
MF Maharoof,9
DB Ravi Teja,9
Y Nagar,9
JEC Franklin,9
Bipul Sharma,9
UBT Chand,9
HV Patel,9
SM Katich,8
SM Pollock,8
Kamran Akmal,8
B Lee,8
MS Gony,8
RE van der Merwe,8
MD Mishra,8
KK Cooper,8
TM Head,8
JJ Roy,8
C Munro,8
Abhishek Sharma,8
R Parag,8
D Padikkal,8
AS Raut,7
S Anirudha,7
B Chipli,7
MN Samuels,7
MG Johnson,7
MJ McClenaghan,7
Mohammad Nabi,7
SE Rutherford,7
SK Warne,6
Shahid Afridi,6
M Kaif,6
Misbah-ul-Haq,6
MJ Lumb,6
R Sathish,6
CM Gautam,6
DL Chahar,6
Washington Sundar,6
AD Hales,6
RD Gaikwad,6
Abdul Samad,6
JDP Oram,5
VVS Laxman,5
AB Agarkar,5
B Akhil,5
Umar Gul,5
A Mishra,5
AA Jhunjhunwala,5
P Dogra,5
J Botha,5
M Morkel,5
SL Malinga,5
DJ Harris,5
BJ Rohrer,5
JO Holder,5
Sachin Baby,5
AJ Tye,5
DJM Short,5
CA Ingram,5
LS Livingstone,5
AB McDonald,4
CA Pujara,4
DJ Jacobs,4
RE Levi,4
Ankit Sharma,4
UT Yadav,4
NM Coulter-Nile,4
R Dhawan,4
D Wiese,4
MM Sharma,4
TG Southee,4
K Rabada,4
PK Garg,4
SB Bangar,3
WPUJC Vaas,3
W Jaffer,3
S Vidyut,3
SB Styris,3
YV Takawale,3
SP Goswami,3
SP Fleming,3
RJ Quiney,3
AC Voges,3
R Sharma,3
RJ Harris,3
DW Steyn,3
LJ Wright,3
B Kumar,3
RR Rossouw,3
UT Khawaja,3
MJ Santner,3
TK Curran,3
MK Lomror,3
RT Ponting,2
AS Yadav,2
Mohammad Hafeez,2
DJ Thornely,2
Joginder Sharma,2
Salman Butt,2
SD Chitnis,2
A Flintoff,2
I Sharma,2
R Bishnoi,2
PR Shah,2
Z Khan,2
AUK Pathan,2
DL Vettori,2
TR Birt,2
AC Blizzard,2
AP Majumdar,2
PA Reddy,2
DH Yagnik,2
R Rampaul,2
BB Samantray,2
JDS Neesham,2
DS Kulkarni,2
VR Aaron,2
J Suchith,2
KC Cariappa,2
ER Dwivedi,2
Mohammed Shami,2
CR Woakes,2
AD Nath,2
RK Singh,2
YBK Jaiswal,2
T Kohli,1
MA Khote,1
L Ronchi,1
RR Sarwan,1
AD Mascarenhas,1
M Rawat,1
Sohail Tanvir,1
LPC Silva,1
Niraj Patel,1
RP Singh,1
RR Powar,1
T Henderson,1
MN van Wyk,1
RR Raje,1
JM Kemp,1
L Balaji,1
FY Fazal,1
SW Tait,1
SK Trivedi,1
AB Barath,1
AP Dole,1
DE Bollinger,1
A Nehra,1
Anirudh Singh,1
R McLaren,1
Sunny Singh,1
JJ van der Wath,1
RV Gomez,1
BJ Haddin,1
NL McCullum,1
WD Parnell,1
A Mithun,1
CK Langeveldt,1
AN Ahmed,1
M Kartik,1
BA Bhatt,1
RJ Peterson,1
AC Thomas,1
K Upadhyay,1
MC Juneja,1
GH Vihari,1
KB Arun Karthik,1
KW Richardson,1
S Rana,1
VH Zol,1
SA Abbott,1
Anureet Singh,1
P Sahu,1
KJ Abbott,1
Iqbal Abdulla,1
A Choudhary,1
TS Mills,1
Vishnu Vinod,1
Basil Thampi,1
Ankit Soni,1
JJ Bumrah,1
Mohammed Siraj,1
DR Shorey,1
JPR Scantlebury-Searles,1
JD Unadkat,1
H Klaasen,1
SN Thakur,1
SD Lad,1
S Gopal,1
KMA Paul,1
Harpreet Brar,1
P Simran Singh,1
TA Boult,1
T Banton,1
JR Philippe,1
AS Rajpoot,1
LH Ferguson,1
TU Deshpande,1
I Udana,1
AT Carey,1
